Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",158.466000,-49.680000,0.000000,top
"C2","100n","C_0402_1005Metric",163.720000,-61.900000,180.000000,top
"C3","100n","C_0402_1005Metric",158.494000,-48.410000,0.000000,top
"C4","10u","C_0201_0603Metric",166.624000,-53.086000,-90.000000,top
"C5","10n","C_0402_1005Metric",154.500000,-56.750000,90.000000,top
"C6","1u","C_0603_1608Metric",152.250000,-60.750000,180.000000,top
"C7","1u","C_0603_1608Metric",152.220000,-62.900000,180.000000,top
"C8","100n","C_0402_1005Metric",158.270000,-61.900000,0.000000,top
"C9","100n","C_0402_1005Metric",155.418000,-51.458000,90.000000,top
"C10","10p","C_0402_1005Metric",152.724000,-53.012000,90.000000,top
"C11","10p","C_0402_1005Metric",152.724000,-55.270000,90.000000,top
"C12","22u","C_0805_2012Metric",168.600000,-60.150000,0.000000,top
"C13","22u","C_0805_2012Metric",175.000000,-65.450000,90.000000,top
"D1","LED","LED_0603_1608Metric",179.000000,-65.500000,-90.000000,top
"FB1","120R","L_0603_1608Metric",154.773000,-61.909500,-90.000000,top
"J1","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",173.080000,-43.400000,-90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",159.600000,-43.400000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",156.520000,-72.200000,90.000000,top
"R1","100k","R_0402_1005Metric",148.000000,-48.910000,-90.000000,top
"R2","1k5","R_0402_1005Metric",170.600000,-53.410000,-90.000000,top
"R3","1k5","R_0402_1005Metric",179.000000,-62.690000,90.000000,top
"R4","1k5","R_0402_1005Metric",160.230000,-65.400000,180.000000,top
"R5","1k5","R_0402_1005Metric",162.490000,-65.400000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",144.675000,-51.800000,-90.000000,top
"U1","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",160.500000,-55.912500,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",170.200000,-66.250000,-90.000000,top
"U3","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",177.045000,-54.500000,90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",150.350000,-54.000000,-90.000000,top
